United Kingdom,United Kingdom,44
United Kingdom,United Kingdom,44820
United Kingdom,UK-wide Calls,443
United Kingdom,VOIP,4456
United Kingdom,Orange Mobile,4475320
United Kingdom,Orange Mobile,4475321
United Kingdom,Orange Mobile,4475322
United Kingdom,Orange Mobile,4475323
United Kingdom,Orange Mobile,4475324
United Kingdom,MMO2 Mobile,447560
United Kingdom,MMO2 Mobile,447561
United Kingdom,MMO2 Mobile,447562
United Kingdom,MMO2 Mobile,447563
United Kingdom,MMO2 Mobile,447564
United Kingdom,MMO2 Mobile,447565
United Kingdom,MMO2 Mobile,447566
United Kingdom,MMO2 Mobile,447567
United Kingdom,T-Mobile,4479567
United Kingdom,O2 Mobile,447106
United Kingdom,O2 Mobile,447107
United Kingdom,H3G Mobile,447400
United Kingdom,H3G Mobile,447401
United Kingdom,H3G Mobile,447402
United Kingdom,H3G Mobile,447403
United Kingdom,VodaphOne Mobile,447407
United Kingdom,Orange Mobile,447409
United Kingdom,Orange Mobile,447410
United Kingdom,H3G Mobile,447411
United Kingdom,H3G Mobile,447412
United Kingdom,H3G Mobile,447413
United Kingdom,H3G Mobile,447414
United Kingdom,T-Mobile,447415
United Kingdom,O2 Mobile,447430
United Kingdom,O2 Mobile,447431
United Kingdom,Vodafone Mobile,447435
United Kingdom,Vodafone Mobile,447436
United Kingdom,Vodafone Mobile,447437
United Kingdom,Vodafone Mobile,447442
United Kingdom,Vodafone Mobile,447443
United Kingdom,Vodafone Mobile,447444
United Kingdom,H3G Mobile,447445
United Kingdom,H3G Mobile,447446
United Kingdom,O2 Mobile,447461
United Kingdom,Vodafone Mobile,447500
United Kingdom,Vodafone Mobile,447501
United Kingdom,Vodafone Mobile,447502
United Kingdom,Vodafone Mobile,447503
United Kingdom,T-Mobile,447504
United Kingdom,T-Mobile,447505
United Kingdom,T-Mobile,447506
United Kingdom,T-Mobile,447507
United Kingdom,T-Mobile,447508
United Kingdom,O2 (UK) Ltd,44751
United Kingdom,O2 (UK) Ltd,447521
United Kingdom,O2 (UK) Ltd,447522
United Kingdom,O2 (UK) Ltd,447523
United Kingdom,O2 (UK) Ltd,447525
United Kingdom,O2 (UK) Ltd,447526
United Kingdom,Orange Mobile,447527
United Kingdom,Orange Mobile,447528
United Kingdom,Orange Mobile,447529
United Kingdom,Orange Mobile,447530
United Kingdom,Orange Mobile,447531
United Kingdom,H3G Mobile,447533
United Kingdom,T-Mobile,447534
United Kingdom,T-Mobile,447535
United Kingdom,Orange Mobile,447536
United Kingdom,T-Mobile,447538
United Kingdom,T-Mobile,447539
United Kingdom,O2 (UK) Ltd,44754
United Kingdom,T-Mobile,447550
United Kingdom,VodaphOne Mobile,447551
United Kingdom,VodaphOne Mobile,447552
United Kingdom,VodaphOne Mobile,447553
United Kingdom,VodaphOne Mobile,447554
United Kingdom,VodaphOne Mobile,447555
United Kingdom,Orange Mobile,447556
United Kingdom,VodaphOne Mobile,447557
United Kingdom,O2 Mobile,44756
United Kingdom,United Kingdom,44757
United Kingdom,Orange Mobile,447580
United Kingdom,Orange Mobile,447581
United Kingdom,Orange Mobile,447582
United Kingdom,Orange Mobile,447583
United Kingdom,VodaphOne Mobile,447584
United Kingdom,VodaphOne Mobile,447585
United Kingdom,VodaphOne Mobile,447586
United Kingdom,VodaphOne Mobile,447587
United Kingdom,H3G Mobile,447588
United Kingdom,O2 (UK) Ltd,44759
United Kingdom,United Kingdom,44770
United Kingdom,United Kingdom,44771
United Kingdom,United Kingdom,44772
United Kingdom,United Kingdom,44773
United Kingdom,O2 (UK) Ltd,447740
United Kingdom,Vodafone Mobile,447741
United Kingdom,O2 (UK) Ltd,447742
United Kingdom,O2 (UK) Ltd,447743
United Kingdom,O2 (UK) Ltd,447745
United Kingdom,O2 (UK) Ltd,447746
United Kingdom,Vodafone Mobile,447747
United Kingdom,Vodafone Mobile,447748
United Kingdom,O2 (UK) Ltd,447749
United Kingdom,O2 (UK) Ltd,447750
United Kingdom,O2 (UK) Ltd,447751
United Kingdom,O2 (UK) Ltd,447752
United Kingdom,O2 (UK) Ltd,447753
United Kingdom,O2 (UK) Ltd,447754
United Kingdom,O2 (UK) Ltd,447756
United Kingdom,T-Mobile,447757
United Kingdom,T-Mobile,447758
United Kingdom,O2 (UK) Ltd,447759
United Kingdom,United Kingdom,44776
United Kingdom,Vodafone Mobile,447770
United Kingdom,Vodafone Mobile,447771
United Kingdom,Orange Mobile,447772
United Kingdom,Orange Mobile,447773
United Kingdom,Vodafone Mobile,447774
United Kingdom,Vodafone Mobile,447775
United Kingdom,Vodafone Mobile,447776
United Kingdom,Vodafone Mobile,447778
United Kingdom,Orange Mobile,447779
United Kingdom,United Kingdom,44778
United Kingdom,United Kingdom,44779
United Kingdom,United Kingdom,44780
United Kingdom,United Kingdom,44781
United Kingdom,O2 (UK) Ltd,447820
United Kingdom,O2 (UK) Ltd,447821
United Kingdom,Vodafone Mobile,447823
United Kingdom,Vodafone Mobile,447824
United Kingdom,Vodafone Mobile,447825
United Kingdom,Vodafone Mobile,447826
United Kingdom,Vodafone Mobile,447827
United Kingdom,H3G Mobile,447828
United Kingdom,H3G Mobile,447830
United Kingdom,Vodafone Mobile,447831
United Kingdom,H3G Mobile,447832
United Kingdom,Vodafone Mobile,447833
United Kingdom,O2 (UK) Ltd,447834
United Kingdom,O2 (UK) Ltd,447835
United Kingdom,Vodafone Mobile,447836
United Kingdom,Orange Mobile,447837
United Kingdom,H3G Mobile,447838
United Kingdom,United Kingdom,44784
United Kingdom,United Kingdom,44785
United Kingdom,O2 (UK) Ltd,447860
United Kingdom,H3G Mobile,447861
United Kingdom,H3G Mobile,447862
United Kingdom,H3G Mobile,447863
United Kingdom,O2 (UK) Ltd,4478640
United Kingdom,O2 (UK) Ltd,4478641
United Kingdom,O2 (UK) Ltd,4478642
United Kingdom,O2 (UK) Ltd,4478643
United Kingdom,O2 (UK) Ltd,4478645
United Kingdom,O2 (UK) Ltd,4478646
United Kingdom,O2 (UK) Ltd,4478647
United Kingdom,O2 (UK) Ltd,4478648
United Kingdom,O2 (UK) Ltd,4478649
United Kingdom,H3G Mobile,447865
United Kingdom,Orange Mobile,447866
United Kingdom,Vodafone Mobile,447867
United Kingdom,H3G Mobile,447868
United Kingdom,H3G Mobile,447869
United Kingdom,Orange Mobile,447870
United Kingdom,O2 (UK) Ltd,447871
United Kingdom,O2 (UK) Ltd,4478720
United Kingdom,O2 (UK) Ltd,4478721
United Kingdom,O2 (UK) Ltd,4478723
United Kingdom,O2 (UK) Ltd,4478724
United Kingdom,O2 (UK) Ltd,4478725
United Kingdom,O2 (UK) Ltd,4478726
United Kingdom,O2 (UK) Ltd,4478728
United Kingdom,O2 (UK) Ltd,4478729
United Kingdom,United Kingdom,447873
United Kingdom,O2 (UK) Ltd,4478740
United Kingdom,O2 (UK) Ltd,4478741
United Kingdom,O2 (UK) Ltd,4478742
United Kingdom,O2 (UK) Ltd,4478743
United Kingdom,O2 (UK) Ltd,4478746
United Kingdom,O2 (UK) Ltd,4478747
United Kingdom,O2 (UK) Ltd,4478748
United Kingdom,O2 (UK) Ltd,4478749
United Kingdom,Orange Mobile,447875
United Kingdom,Vodafone Mobile,447876
United Kingdom,H3G Mobile,447877
United Kingdom,H3G Mobile,447878
United Kingdom,Vodafone Mobile,447879
United Kingdom,United Kingdom,44788
United Kingdom,United Kingdom,44789
United Kingdom,O2 (UK) Ltd,4478923
United Kingdom,O2 (UK) Ltd,4478924
United Kingdom,O2 (UK) Ltd,4478926
United Kingdom,O2 (UK) Ltd,4478927
United Kingdom,O2 (UK) Ltd,4478928
United Kingdom,O2 (UK) Ltd,4478929
United Kingdom,O2 (UK) Ltd,4478932
United Kingdom,O2 (UK) Ltd,4478934
United Kingdom,O2 (UK) Ltd,4478935
United Kingdom,O2 (UK) Ltd,4478936
United Kingdom,Orange Mobile,4478937
United Kingdom,United Kingdom,44790
United Kingdom,United Kingdom,44791
United Kingdom,Vodafone Mobile,447920
United Kingdom,O2 (UK) Ltd,447921
United Kingdom,O2 (UK) Ltd,447922
United Kingdom,O2 (UK) Ltd,447923
United Kingdom,O2 (UK) Ltd,447925
United Kingdom,O2 (UK) Ltd,447926
United Kingdom,O2 (UK) Ltd,447927
United Kingdom,O2 (UK) Ltd,447928
United Kingdom,Orange Mobile,447929
United Kingdom,United Kingdom,44793
United Kingdom,United Kingdom,44795
United Kingdom,United Kingdom,44796
United Kingdom,Orange Mobile,447970
United Kingdom,Orange Mobile,447971
United Kingdom,Orange Mobile,447972
United Kingdom,Orange Mobile,447973
United Kingdom,Orange Mobile,447974
United Kingdom,Orange Mobile,447975
United Kingdom,Orange Mobile,447976
United Kingdom,Orange Mobile,447977
United Kingdom,Vodafone Mobile,447979
United Kingdom,United Kingdom,44798
United Kingdom,Vodafone Mobile,447990
United Kingdom,O2 (UK) Ltd,447999
United Kingdom,United Kingdom,44808
United Kingdom,Orange Mobile,447416
United Kingdom,H3G Mobile,4474170
United Kingdom,Orange Mobile,447419
United Kingdom,Orange Mobile,447420
United Kingdom,Orange Mobile,447421
United Kingdom,Orange Mobile,447422
United Kingdom,Vodafone Mobile,447423
United Kingdom,Vodafone Mobile,447425
United Kingdom,H3G Mobile,447426
United Kingdom,H3G Mobile,447427
United Kingdom,H3G Mobile,447428
United Kingdom,H3G Mobile,447429
United Kingdom,T-Mobile,447432
United Kingdom,T-Mobile,447433
United Kingdom,T-Mobile,447434
United Kingdom,H3G Mobile,447447
United Kingdom,H3G Mobile,447449
United Kingdom,H3G Mobile,447450
United Kingdom,H3G Mobile,447453
United Kingdom,H3G Mobile,447454
United Kingdom,H3G Mobile,447455
United Kingdom,H3G Mobile,447456
United Kingdom,H3G Mobile,447460
United Kingdom,H3G Mobile,447462
United Kingdom,H3G Mobile,447463
United Kingdom,Vodafone Mobile,447467
United Kingdom,Vodafone Mobile,447468
United Kingdom,Vodafone Mobile,447469
United Kingdom,Vodafone Mobile,447470
United Kingdom,Vodafone Mobile,447471
United Kingdom,H3G Mobile,447472
United Kingdom,H3G Mobile,447473
United Kingdom,H3G Mobile,447474
United Kingdom,VodafOne Mobile ,4475374
United Kingdom,Orange Mobile,447532
United Kingdom,Mobile,447475
United Kingdom,Mobile,447476
United Kingdom,Mobile,447477
United Kingdom,Mobile,447478
